Food,Grams,Calories,Fat,Carbs,Protein
Cows' milk,100,67.62,4.1,4.92,3.28
Milk skim,100,36.59,0.0,5.28,3.66
Buttermilk,100,51.63,2.03,5.28,3.66
"Evaporated, undiluted",100,136.9,7.94,9.52,6.35
Powdered milk,100,500.0,27.18,37.86,26.21
"skim, instant",100,341.18,0.0,49.41,35.29
"skim, non-instant",100,341.18,0.0,49.41,35.29
Goats' milk,100,67.62,4.1,4.51,3.28
(1/2 cup ice cream),100,127.78,4.44,12.96,4.44
Cocoa,100,93.25,4.37,10.32,3.17
skim. milk,100,51.2,1.6,5.2,7.2
(cornstarch),100,110.89,4.03,16.13,3.63
Custard,100,114.92,5.65,11.29,5.24
Ice cream,100,159.57,9.57,15.43,3.19
Ice milk,100,144.74,5.26,16.84,4.74
Cream or half-and-half,100,141.67,12.5,4.17,3.33
or whipping,100,361.34,36.97,2.52,1.68
Cheese,100,106.67,4.89,2.67,13.33
uncreamed,100,86.67,0.0,2.67,16.89
Cheddar,100,411.76,35.29,0.0,23.53
"Cheddar, grated cup",100,403.57,33.93,1.79,25.0
Cream cheese,100,375.0,39.29,3.57,7.14
Processed cheese,100,375.0,32.14,0.0,25.0
Roquefort type,100,375.0,32.14,0.0,21.43
Swiss,100,375.0,28.57,0.0,25.0
Eggs raw,100,150.0,12.0,0.0,12.0
Eggs Scrambled or fried,100,171.88,12.5,0.78,10.16
Yolks,100,352.94,29.41,0.0,17.65
Butter,100,714.29,78.57,0.0,0.0
Butter,100,100.89,102.68,105.36,101.79
Butter,100,100.89,102.68,105.36,101.79
Hydrogenated cooking fat,100,665.0,100.0,0.0,0.0
Lard,100,901.82,100.0,0.0,0.0
Margarine,100,719.64,81.25,0.0,0.0
"Margarine, 2 pat or",100,714.29,78.57,0.0,0.0
Mayonnaise,100,733.33,80.0,0.0,0.0
Corn oil,100,892.86,100.0,0.0,0.0
Olive oil,100,892.86,100.0,0.0,0.0
Safflower seed oil,100,892.86,100.0,0.0,0.0
French dressing,100,400.0,40.0,13.33,0.0
Thousand Island sauce,100,500.0,53.33,6.67,0.0
Salt pork,100,783.33,91.67,0.0,5.0
Bacon,100,593.75,50.0,6.25,25.0
Beef,100,288.24,18.82,0.0,27.06
Hamburger,100,288.24,20.0,0.0,24.71
Ground lean,100,217.65,11.76,0.0,28.24
Roast beef,100,458.82,42.35,0.0,18.82
Steak,100,388.24,31.76,0.0,23.53
"Steak, lean, as round",100,258.82,14.12,0.0,28.24
Corned beef,100,217.65,11.76,0.0,25.88
Corned beef hash canned,100,141.18,9.41,7.06,14.12
Corned beef hash Dried,100,205.36,7.14,0.0,33.93
Pot-pie,100,211.45,12.33,14.1,7.93
Corned beef hash Stew,100,78.72,4.26,6.38,6.38
chicken,100,217.65,10.59,0.0,27.06
"Fried, breast or leg and thigh chicken",100,288.24,17.65,0.0,29.41
Roasted chicken,100,290.0,20.0,0.0,25.0
"Chicken livers, fried",100,140.0,14.0,2.3,22.0
"Duck, domestic",100,370.0,28.0,0.0,16.0
"Lamb, chop, broiled",100,417.39,30.43,0.0,20.87
Leg roasted,100,365.12,16.28,0.0,23.26
"Shoulder, braised",100,335.29,27.06,0.0,21.18
"Pork, chop, 1 thick",100,260.0,21.0,0.0,16.0
Ham pan-broiled,100,341.18,25.88,0.0,18.82
"Ham, as ",100,298.25,22.81,0.0,22.81
"Ham, canned, spiced",100,289.47,24.56,1.75,14.04
Pork roast,100,364.71,28.24,0.0,24.71
Pork sausage,100,475.0,44.0,0.0,18.0
Turkey,100,265.0,15.0,0.0,27.0
Veal,100,217.65,10.59,0.0,27.06
Roast,100,358.82,16.47,0.0,15.29
Clams,100,102.35,1.18,2.35,14.12
Cod,100,170.0,5.0,0.0,28.0
Crab meat,100,105.88,2.35,1.18,16.47
Fish sticks fried,100,178.57,8.93,7.14,16.96
Flounder,100,200.0,8.0,0.0,30.0
Haddock,100,158.82,5.88,7.06,18.82
Halibut,100,182.0,8.0,0.0,26.0
Herring,100,211.0,13.0,0.0,22.0
Lobster,100,92.0,1.0,0.0,18.0
Mackerel,100,182.35,10.59,0.0,21.18
Oysters,100,100.43,101.3,102.61,100.87
Oyster stew,100,147.06,7.06,0.0,22.35
Salmon,100,141.18,5.88,0.0,20.0
Sardines,100,211.76,10.59,0.0,25.88
Scallops,100,104.0,8.0,10.0,18.0
Shad,100,200.0,11.76,0.0,23.53
Shrimp,100,129.41,1.18,0.0,27.06
Swordfish,100,180.0,6.0,0.0,27.0
Tuna,100,200.0,8.24,0.0,29.41
Asparagus,100,18.75,0.0,3.12,1.04
Beans,100,20.0,0.0,4.8,0.8
Lima,100,87.5,0.0,15.0,5.0
"Lima, dry, cooked",100,135.42,0.0,25.0,8.33
"Navy, baked with pork",100,125.0,3.0,18.5,5.5
