Read All Clients,2023-04-02 01:43:44.552
Read All Clients,2023-04-02 18:13:32.972
Read All Employees,2023-04-02 18:13:34.644
Read All Theaters,2023-04-02 18:13:35.989
Read All Movies,2023-04-02 18:13:37.375
Read All Tickets,2023-04-02 18:13:39.636
Read All Showtimes,2023-04-02 18:13:41.594
Read All Sodas,2023-04-02 18:13:44.655
Read All Snacks,2023-04-02 18:13:47.65
Show all showtimes sorted by date,2023-04-02 18:14:01.69
Show all tickets sorted by their showtimes,2023-04-02 18:14:03.22
Show all showtimes for a movie,2023-04-02 18:14:07.944
Create Snack,2023-04-02 18:17:18.763
Create Soda,2023-04-02 18:17:58.358
Create Client,2023-04-02 18:18:31.172
Create Employee,2023-04-02 18:19:15.046
Create Theater,2023-04-02 18:19:26.814
Create Movie,2023-04-02 18:19:41.454
Create Showtime,2023-04-02 18:20:41.324
Show all showtimes sorted by date,2023-04-02 18:20:59.926
Create Ticket,2023-04-02 18:21:48.073
Show all showtimes sorted by date,2023-04-02 18:22:15.505
Show all tickets sorted by their showtimes,2023-04-02 18:22:47.371
Show how many seats are available for a showtime,2023-04-02 18:24:34.391
View how many tickets a user has bought,2023-04-02 18:24:49.542
Check if a Movie is available in any Theater and show them,2023-04-02 18:25:13.734
Update a client's email and/or phone number,2023-04-02 18:25:34.212
Change quantity of existing products,2023-04-02 18:26:02.015
Show all Movies that are available in a Theater,2023-04-02 18:26:13.016
Show all Movies that are available in a Theater on a specific date,2023-04-02 18:26:34.611
Show all Movies that are available in a Theater on a specific date,2023-04-02 18:26:50.414
Create Ticket,2023-04-02 18:27:41.977
Create Ticket,2023-04-02 18:31:26.151
Read All Clients,2023-05-01 14:53:11.883
Read All Employees,2023-05-01 14:53:13.739
Read All Theaters,2023-05-01 14:53:22.086
Read All Movies,2023-05-01 14:53:24.639
Read All Tickets,2023-05-01 14:53:27.127
Read All Showtimes,2023-05-01 14:53:28.74
Read All Clients,2023-05-26 14:15:25.507
Create Ticket,2023-05-29 15:02:23.199
Show all tickets sorted by their showtimes,2023-05-29 15:02:46.661
Show how many seats are available for a showtime,2023-05-29 15:02:56.122
Change quantity of existing products,2023-05-29 15:03:07.797
Show all Movies that are available in a Theater on a specific date,2023-05-29 15:03:18.467
Create Showtime,2023-05-29 16:07:15.405
Show all showtimes sorted by date,2023-05-29 16:07:34.028
Show all showtimes for a movie,2023-05-29 16:07:41.904
Show all showtimes for a movie,2023-05-29 16:07:46.884
Show all showtimes for a movie,2023-05-29 16:07:52.043
Show all showtimes sorted by date,2023-05-29 16:08:12.131
Show all tickets sorted by their showtimes,2023-05-29 16:08:25.704
Check if a Movie is available in any Theater and show them,2023-05-29 16:08:44.776
Show all tickets sorted by their showtimes,2023-05-29 16:13:57.804
Create Ticket,2023-05-29 16:59:58.878
Create Ticket,2023-05-29 17:02:14.985
Create Soda,2023-05-29 17:02:37.267
Create Snack,2023-05-29 17:03:02.092
Read All Clients,2023-05-29 17:03:10.073
Read All Clients,2023-05-29 17:03:11.865
Read All Clients,2023-05-29 17:03:23.604
Read All Clients,2023-05-29 17:04:09.818
Read All Employees,2023-05-29 17:04:11.155
Read All Theaters,2023-05-29 17:04:12.536
Read All Movies,2023-05-29 17:04:13.787
Read All Tickets,2023-05-29 17:04:15.059
Read All Showtimes,2023-05-29 17:04:16.866
Read All Sodas,2023-05-29 17:04:18.274
Read All Snacks,2023-05-29 17:04:19.887
